Train Loss,Valid Loss,Accuracy,Precision,Recall,F1 Score
0.6667703907654654,0.6018982779521208,0.7048076923076924,0.7290322580645161,0.6519230769230769,0.6883248730964467
0.6075938485979903,0.5599984258413315,0.7384615384615385,0.7167832167832168,0.7884615384615384,0.7509157509157509
0.5749462653200922,0.5263919115066529,0.7759615384615385,0.7379767827529021,0.8557692307692307,0.792520035618878
0.5429389242544918,0.48706248242121475,0.8259615384615384,0.7877758913412564,0.8923076923076924,0.8367899008115419
0.5007432435202677,0.45084847504129777,0.8298076923076924,0.8046181172291297,0.8711538461538462,0.8365650969529086
0.46220898422137574,0.4477210274109474,0.85,0.8297101449275363,0.8807692307692307,0.8544776119402985
0.42613113476075926,0.40177591167963467,0.8730769230769231,0.8403508771929824,0.9211538461538461,0.8788990825688073
0.3857668985814085,0.3894977842385952,0.8480769230769231,0.7854889589905363,0.9576923076923077,0.8630849220103987
0.3466081943293434,0.3573751707489674,0.8740384615384615,0.8382608695652174,0.926923076923077,0.8803652968036529
0.3201316424965466,0.3469126776433908,0.8884615384615384,0.8447098976109215,0.9519230769230769,0.895117540687161
0.2892038001874145,0.3342404152911443,0.8826923076923077,0.8305647840531561,0.9615384615384616,0.8912655971479501
0.2711333967622627,0.34754332980284325,0.8653846153846154,0.8015873015873016,0.9711538461538461,0.8782608695652174
0.2602587575348489,0.32037555936437384,0.8865384615384615,0.845360824742268,0.9461538461538461,0.8929219600725953
0.23671134369106375,0.330082931713416,0.8653846153846154,0.8156146179401993,0.9442307692307692,0.875222816399287
0.2262736111143287,0.2904718773296246,0.8894230769230769,0.8534031413612565,0.9403846153846154,0.8947849954254345
0.21096713404231485,0.3017473885646233,0.8894230769230769,0.8438030560271647,0.9557692307692308,0.8963029756537421
0.19100230960860343,0.291551790615687,0.8875,0.8341625207296849,0.9673076923076923,0.8958147818343722
0.19170103137075706,0.29585101773532535,0.8865384615384615,0.8477508650519031,0.9423076923076923,0.8925318761384335
0.1800254178443018,0.3374773800086517,0.8634615384615385,0.7953125,0.9788461538461538,0.8775862068965518
0.16703191319425334,0.3059166353769027,0.8826923076923077,0.8283828382838284,0.9653846153846154,0.8916518650088809
0.16642692587394614,0.28987043637495774,0.8826923076923077,0.8327759197324415,0.9576923076923077,0.8908765652951699
0.14240150712634939,0.3324475426799976,0.8596153846153847,0.7903726708074534,0.9788461538461538,0.8745704467353952
0.1487931115051852,0.2906865275536592,0.8798076923076923,0.820097244732577,0.9730769230769231,0.890061565523307
0.14259873547731325,0.2991662625509959,0.8769230769230769,0.8181818181818182,0.9692307692307692,0.8873239436619719
0.1339858265922831,0.29998200595951996,0.8798076923076923,0.8190630048465266,0.975,0.8902546093064091
0.12170697003602982,0.2856294260861782,0.8826923076923077,0.8273026315789473,0.9673076923076923,0.8918439716312057
0.13223882268145107,0.273553066715025,0.8875,0.8421052631578947,0.9538461538461539,0.8944995491433724
0.1236192814261539,0.26654822056969774,0.9009615384615385,0.8601036269430051,0.9576923076923077,0.9062784349408554
0.11735189108241402,0.28022600789196217,0.8894230769230769,0.8325123152709359,0.975,0.8981399468556245
0.11994639196475042,0.3211104188830807,0.8769230769230769,0.815112540192926,0.975,0.8879159369527145
0.10918567275871757,0.27894000532821966,0.8884615384615384,0.8366666666666667,0.9653846153846154,0.8964285714285715
0.10538965618211273,0.26767135716688173,0.9,0.8586206896551725,0.9576923076923077,0.9054545454545454
0.11324684484018387,0.3157218169850799,0.8798076923076923,0.8180354267310789,0.9769230769230769,0.8904469763365469
0.10678947350147265,0.316776937382439,0.875,0.8145161290322581,0.9711538461538461,0.8859649122807017
0.09428054402642663,0.29671637216726177,0.8817307692307692,0.8227642276422764,0.9730769230769231,0.8916299559471366
0.0936213008421509,0.29152988055004525,0.8846153846153846,0.8311258278145696,0.9653846153846154,0.8932384341637011
0.09419430884339414,0.2453328972753997,0.9096153846153846,0.8710801393728222,0.9615384615384616,0.9140767824497258
0.08835063021298821,0.2954358998686075,0.8884615384615384,0.8377926421404682,0.9634615384615385,0.8962432915921288
0.09628085298698832,0.27852853203478917,0.8894230769230769,0.8403361344537815,0.9615384615384616,0.8968609865470852
0.0944421952682354,0.24695880315624752,0.9028846153846154,0.8788426763110307,0.9346153846153846,0.9058713886300093
0.09309370189896989,0.24011451113395965,0.9096153846153846,0.8858695652173914,0.9403846153846154,0.9123134328358209
0.08689256980156466,0.28650612003671433,0.8951923076923077,0.8430717863105175,0.9711538461538461,0.902591599642538
0.0776003219829269,0.28452985034539147,0.8932692307692308,0.8460236886632826,0.9615384615384616,0.9000900090009001
0.09156667656121054,0.28455407335781135,0.885576923076923,0.8404074702886248,0.9519230769230769,0.8926961226330027
0.07121556431247263,0.2606512853302635,0.8990384615384616,0.8571428571428571,0.9576923076923077,0.9046321525885559
0.08444347548473352,0.279986803778089,0.8923076923076924,0.8469387755102041,0.9576923076923077,0.8989169675090253
0.08257652181134233,0.29506961608735416,0.8932692307692308,0.8448566610455311,0.9634615384615385,0.9002695417789758
0.07335381831720258,0.26316079202179726,0.8961538461538462,0.8444816053511706,0.9711538461538461,0.9033989266547406
0.07008035533727197,0.2719300918639279,0.8826923076923077,0.8361486486486487,0.9519230769230769,0.8902877697841727
0.07491856404916515,0.2801507859849013,0.8932692307692308,0.8402662229617305,0.9711538461538461,0.9009812667261374
0.0862359142270344,0.2618119242314536,0.9019230769230769,0.8813868613138686,0.9288461538461539,0.9044943820224719
0.08187021912534595,0.2807049661803131,0.8942307692307693,0.8451178451178452,0.9653846153846154,0.9012567324955116
0.07915350519177942,0.32010947609893403,0.8826923076923077,0.819935691318328,0.9807692307692307,0.8931698774080561
0.06408869487393962,0.257808502509187,0.8971153846153846,0.861646234676007,0.9461538461538461,0.9019248395967002
0.07261047404694947,0.27053114619249335,0.8971153846153846,0.8578856152512998,0.9519230769230769,0.902461257976299
0.06977914715069218,0.3001970065793452,0.8846153846153846,0.8344481605351171,0.9596153846153846,0.8926654740608229
0.059583403112348395,0.2639033621463638,0.8932692307692308,0.8460236886632826,0.9615384615384616,0.9000900090009001
0.07011463235180444,0.23874867542897565,0.9067307692307692,0.8810810810810811,0.9403846153846154,0.9097674418604651
0.06276493156676383,0.29288958102249757,0.8951923076923077,0.8465430016863407,0.9653846153846154,0.9020664869721473
0.06038721496317,0.3077517540194094,0.8903846153846153,0.8417508417508418,0.9615384615384616,0.8976660682226212
0.0583449131865402,0.2662633085050262,0.8923076923076924,0.8517241379310345,0.95,0.8981818181818182
0.06167638064469451,0.29419515797725093,0.8865384615384615,0.8327814569536424,0.9673076923076923,0.895017793594306
0.05791807982765964,0.3075453801689526,0.8884615384615384,0.8355481727574751,0.9673076923076923,0.8966131907308378
0.07277663895383919,0.24260374346676356,0.9096153846153846,0.8817204301075269,0.9461538461538461,0.9128014842300557
0.07012617512239076,0.2469948647901989,0.9067307692307692,0.8783542039355993,0.9442307692307692,0.9101019462465245
0.05678769644773049,0.29087279371630687,0.8932692307692308,0.848381601362862,0.9576923076923077,0.8997289972899729
0.06197233203365074,0.30475175438556246,0.8923076923076924,0.8481228668941979,0.9557692307692308,0.8987341772151899
0.0659298439633866,0.25282466863819325,0.9076923076923077,0.8840579710144928,0.9384615384615385,0.9104477611940298
